Station,PRN,UT (hrs),UT 2 (hours),UT 3 (hours),Frequency (mHz),Frequency 2 (mHz),Frequency 3 (mHz),Wavelet amplitude,Wavelet amplitude 2,Wavelet amplitude 3,Outside COI,Outside COI 2,Outside COI 3,Detction azimuth,Detection altitude,IPP azimuth,IPP altitude,Propagation distance,Propagation velocity
CN19,15,21.903,nan,nan,0.849,nan,nan,4.415,nan,nan,limb,NA,NA,3.579,1.761,1.394,1.633,14710.562,30519.838
CN19,17,22.28,23,nan,0.713,1.7,nan,1.082,1,nan,No,limb,NA,2.37,1.433,1.394,1.633,6696.005,7795.117
CN19,19,22.395,nan,nan,0.6,nan,nan,3.076,nan,nan,No,NA,NA,2.285,1.12,1.394,1.633,6910.057,7094.515
CN19,25,22.572,nan,nan,0.599,nan,nan,11.791,nan,nan,No,NA,NA,5.034,1.663,1.394,1.633,24465.271,21255.665
CN19,29,23.162,nan,nan,1.223,nan,nan,4.465,nan,nan,No,NA,NA,5.671,1.53,1.394,1.633,28754.051,16515.825
CN40,2,23.057,nan,nan,0.505,nan,nan,2.307,nan,nan,limb,NA,NA,0.566,0.983,1.331,1.598,6597.03,4032.415
CN40,5,23.71,nan,nan,0.712,nan,nan,1.711,nan,nan,Yes,NA,NA,0.187,1.207,1.331,1.598,8125.511,3549.808
CN40,6,22.343,nan,nan,0.424,nan,nan,15.21,nan,nan,No,NA,NA,1.05,1.386,1.331,1.598,2365.802,2565.945
CN40,9,21.543,nan,nan,1.709,nan,nan,0.11,nan,nan,limb,NA,NA,0.892,1.64,1.331,1.598,2963.991,24295.012
CN40,12,22.741,nan,nan,0.713,nan,nan,13.75,nan,nan,No,NA,NA,4.32,1.304,1.331,1.598,20186.014,15292.435
CN40,15,21.687,nan,nan,1,nan,nan,6.615,nan,nan,Yes,NA,NA,3.607,1.868,1.331,1.598,15404.256,57910.738
CN40,25,22.853,23.1,nan,1.427,0.82,nan,2.487,2.1,nan,No,No,NA,4.906,1.678,1.331,1.598,24033.59,16783.233
CN40,29,22.96,nan,nan,1.431,nan,nan,5.248,nan,nan,No,NA,NA,5.685,1.658,1.331,1.598,29266.012,19016.252
TTSF,2,22.364,nan,nan,0.665,nan,nan,21.918,nan,nan,No,NA,NA,0.033,1.142,0.42,1.234,2673.514,2835.115
TTSF,5,22.305,nan,nan,0.713,nan,nan,18.355,nan,nan,No,NA,NA,5.521,0.952,0.42,1.234,34336.171,38841.822
TTSF,6,22.305,22.305,nan,0.503,0.85,nan,7.356,6.4,nan,No,No,NA,0.966,1.252,0.42,1.234,3671.66,4153.461
TTSF,9,22.257,nan,nan,1.428,nan,nan,1.134,nan,nan,limb,NA,NA,0.679,1.844,0.42,1.234,4454.056,5327.818
TTSF,12,22.934,nan,nan,0.71,nan,nan,3.377,nan,nan,No,NA,NA,4.307,1.493,0.42,1.234,26182.458,17304.995
TTSF,15,21.801,nan,nan,0.713,nan,nan,2.477,nan,nan,Yes,NA,NA,3.674,1.854,0.42,1.234,22263.576,58588.358
TTSF,25,23.139,nan,nan,0.852,nan,nan,18.681,nan,nan,No,NA,NA,4.802,1.856,0.42,1.234,29746.639,17314.691
TTSF,28,21.733,nan,nan,1.57,nan,nan,0.815,nan,nan,Yes,NA,NA,2.795,1.898,0.42,1.234,16574.483,53123.344
TTSF,29,23.11,nan,nan,1.199,nan,nan,7.65,nan,nan,No,NA,NA,5.651,1.72,0.42,1.234,35308.962,20905.247
TTUW,2,22.374,nan,nan,0.695,nan,nan,20.783,nan,nan,No,NA,NA,0.036,1.131,0.439,1.186,2733.671,2868.49
TTUW,5,22.38,nan,nan,0.714,nan,nan,14.555,nan,nan,No,NA,NA,5.567,0.959,0.439,1.186,34499.04,35973.973
TTUW,6,22.099,nan,nan,0.424,nan,nan,6.225,nan,nan,No,NA,NA,0.85,1.25,0.439,1.186,2795.621,4123.335
